level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5335254	5336926	#00ff3c	1.0	Deferred Enqueue Task	1					340
2	5337186	5339973	#be00ff	1.0	Scheduler	0					12927
2	5340076	5343885	#ff1100	1.0	Task Physical Dependence Analysis	1					22996
2	5522604	5524828	#ff9800	1.0	Logical Dependence Analysis	3					341
2	5524930	5525021	#333399	1.0	Deferred Ready Trigger	3					342
2	5525110	5525625	#ff9800	1.0	Logical Dependence Analysis	4					343
2	5525714	5547714	#ff2300	1.0	Operation Physical Dependence Analysis	3					12928
1	5538298	5541867	#8e00ff	1.0	Mapper Call slice_task						11923
2	5547789	5547912	#be00ff	1.0	Scheduler	0					22997
2	5547987	5548084	#be00ff	1.0	Scheduler	0					22998
2	5548149	5548229	#be00ff	1.0	Scheduler	0					22999
2	5548305	5548390	#be00ff	1.0	Scheduler	0					23000
2	5548461	5938294	#ff1100	1.0	Task Physical Dependence Analysis	7					23001
1	5595712	5597925	#ff00b9	1.0	Mapper Call map_task for 11	11					11924
1	5598247	5599869	#ff00b9	1.0	Mapper Call map_task for 12	12					11925
2	5938385	6308123	#ff1100	1.0	Task Physical Dependence Analysis	8					23002
2	6308199	6679713	#ff1100	1.0	Task Physical Dependence Analysis	9					23003
2	6679807	7052358	#ff1100	1.0	Task Physical Dependence Analysis	10					23004
2	7052439	7052567	#333399	1.0	Deferred Ready Trigger	4					23005
2	7052629	7052750	#be00ff	1.0	Scheduler	0					12929
2	7052814	7053475	#006600	1.0	Post-Task Execution	11					344
2	7053550	7053676	#ca00ff	1.0	Deferred Post-Task Execution	11					12930
2	7053748	7053763	#ca00ff	1.0	Deferred Post-Task Execution	12					23006
2	7053817	7053829	#ca00ff	1.0	Deferred Post-Task Execution	13					23007
2	7053880	7053892	#ca00ff	1.0	Deferred Post-Task Execution	14					23008
2	7053941	7053953	#ca00ff	1.0	Deferred Post-Task Execution	15					23009
2	7054002	7054013	#ca00ff	1.0	Deferred Post-Task Execution	16					23010
2	7054068	7054080	#ca00ff	1.0	Deferred Post-Task Execution	17					346
2	7054130	7054141	#ca00ff	1.0	Deferred Post-Task Execution	18					23011
2	7054192	7054203	#ca00ff	1.0	Deferred Post-Task Execution	19					23012
2	7054251	7054263	#ca00ff	1.0	Deferred Post-Task Execution	20					23013
2	7054325	7054336	#ca00ff	1.0	Deferred Post-Task Execution	21					23014
2	7054383	7054394	#ca00ff	1.0	Deferred Post-Task Execution	22					23015
2	7054448	7054460	#ca00ff	1.0	Deferred Post-Task Execution	23					348
2	7054510	7054522	#ca00ff	1.0	Deferred Post-Task Execution	24					12931
2	7054576	7054588	#ca00ff	1.0	Deferred Post-Task Execution	25					23016
2	7054638	7054652	#ca00ff	1.0	Deferred Post-Task Execution	26					23017
2	7054701	7054976	#ff1100	1.0	Task Physical Dependence Analysis	4					23018
2	7055048	7055105	#333399	1.0	Deferred Ready Trigger	5					23019
2	7055162	7055259	#be00ff	1.0	Scheduler	0					68957
2	7055323	7055752	#006600	1.0	Post-Task Execution	27					12932
2	7055813	7055832	#ca00ff	1.0	Deferred Post-Task Execution	27					23020
2	7055884	7055897	#ca00ff	1.0	Deferred Post-Task Execution	28					23021
2	7055945	7055957	#ca00ff	1.0	Deferred Post-Task Execution	29					23022
2	7056007	7056018	#ca00ff	1.0	Deferred Post-Task Execution	30					23023
2	7056066	7056078	#ca00ff	1.0	Deferred Post-Task Execution	31					23024
2	7056125	7056137	#ca00ff	1.0	Deferred Post-Task Execution	32					12933
2	7056185	7056196	#ca00ff	1.0	Deferred Post-Task Execution	33					23025
2	7056244	7056256	#ca00ff	1.0	Deferred Post-Task Execution	34					23026
2	7056304	7056315	#ca00ff	1.0	Deferred Post-Task Execution	35					23027
2	7056363	7056374	#ca00ff	1.0	Deferred Post-Task Execution	36					350
2	7056431	7056443	#ca00ff	1.0	Deferred Post-Task Execution	37					352
2	7056495	7056506	#ca00ff	1.0	Deferred Post-Task Execution	38					23028
2	7056555	7056567	#ca00ff	1.0	Deferred Post-Task Execution	39					23029
2	7056616	7056627	#ca00ff	1.0	Deferred Post-Task Execution	40					23030
2	7056674	7056685	#ca00ff	1.0	Deferred Post-Task Execution	41					23031
2	7056734	7056749	#ca00ff	1.0	Deferred Post-Task Execution	42					23032
