time	count
0.00	0.00
5329375.00	0.25
5331128.00	0.00
5337129.00	0.25
5337332.00	0.00
5340067.00	0.25
5341169.00	0.00
5343954.00	0.25
5343991.00	0.50
5344052.00	0.25
5523873.00	0.00
5524947.00	0.25
5524965.00	0.00
5525091.00	0.25
5525104.00	0.00
5525704.00	0.25
5525717.00	0.00
5547785.00	0.25
5547798.00	0.00
5547982.00	0.25
5547996.00	0.00
5548131.00	0.25
5548136.00	0.00
5548284.00	0.25
5548287.00	0.00
5548441.00	0.25
5548444.00	0.00
5598230.00	0.25
5598446.00	0.00
5598538.00	0.25
5598602.00	0.00
5600110.00	0.25
5600137.00	0.00
5600219.00	0.25
5600232.00	0.00
5600295.00	0.25
5600315.00	0.00
5600362.00	0.25
5600376.00	0.00
5600476.00	0.25
5600493.00	0.00
5600541.00	0.25
5600550.00	0.00
5600659.00	0.25
5600674.00	0.00
5600739.00	0.25
5600814.00	0.50
5600815.00	0.25
5600835.00	0.00
5600890.00	0.25
5600896.00	0.00
5600981.00	0.25
5600996.00	0.00
5601044.00	0.25
5601049.00	0.00
5601118.00	0.25
5601132.00	0.00
5601169.00	0.25
5601173.00	0.00
5601248.00	0.25
5601261.00	0.00
5601298.00	0.25
5601301.00	0.00
5601389.00	0.25
5601407.00	0.00
5601447.00	0.25
5601450.00	0.00
5601532.00	0.25
5601546.00	0.00
5601583.00	0.25
5601596.00	0.00
5601678.00	0.25
5601691.00	0.00
5601729.00	0.25
5601732.00	0.00
5601814.00	0.25
5601827.00	0.00
5601864.00	0.25
5601867.00	0.00
5601950.00	0.25
5601963.00	0.00
5602000.00	0.25
5602003.00	0.00
5602113.00	0.25
5602165.00	0.00
5602220.00	0.25
5602241.00	0.00
5602266.00	0.25
5602283.00	0.00
5602296.00	0.25
5602309.00	0.00
5602354.00	0.25
5602367.00	0.00
5602423.00	0.25
5602428.00	0.00
5602496.00	0.25
5602511.00	0.00
5602549.00	0.25
5602551.00	0.00
5602634.00	0.25
5602647.00	0.00
5602684.00	0.25
5602692.00	0.00
5602775.00	0.25
5602789.00	0.00
5602826.00	0.25
5602829.00	0.00
5602910.00	0.25
5602923.00	0.00
5602960.00	0.25
5602963.00	0.00
5603038.00	0.25
5603051.00	0.00
5603088.00	0.25
5603115.00	0.00
5603170.00	0.25
5603184.00	0.00
5603221.00	0.25
5603224.00	0.00
5603303.00	0.25
5603316.00	0.00
5603353.00	0.25
5603356.00	0.00
5603443.00	0.25
5603457.00	0.00
5603494.00	0.25
5603504.00	0.00
5603591.00	0.25
5603604.00	0.00
5603641.00	0.25
5603644.00	0.00
5603729.00	0.25
5603742.00	0.00
5603779.00	0.25
5603782.00	0.00
5603881.00	0.25
5603911.00	0.00
5603983.00	0.25
5603993.00	0.00
5604018.00	0.25
5604048.00	0.00
5604125.00	0.25
5604129.00	0.00
5604131.00	0.25
5604153.00	0.00
5604206.00	0.25
5604209.00	0.00
5604268.00	0.25
5604283.00	0.00
5604337.00	0.25
5604346.00	0.00
5604402.00	0.25
5604429.00	0.00
5604488.00	0.25
5604493.00	0.00
5604547.00	0.25
5604561.00	0.00
5604610.00	0.25
5604614.00	0.00
5604677.00	0.25
5604691.00	0.00
5604729.00	0.25
5604732.00	0.00
5604810.00	0.25
5604824.00	0.00
5604861.00	0.25
5604867.00	0.00
5604943.00	0.25
5604957.00	0.00
5604994.00	0.25
5604997.00	0.00
5605080.00	0.25
5605093.00	0.00
5605131.00	0.25
5605133.00	0.00
5605242.00	0.25
5605256.00	0.00
5605293.00	0.25
5605296.00	0.00
5605380.00	0.25
5605393.00	0.00
5605438.00	0.25
5605441.00	0.00
5605520.00	0.25
5605533.00	0.00
5605571.00	0.25
5605578.00	0.00
5605648.00	0.25
5605661.00	0.00
5605699.00	0.25
5605702.00	0.00
5605781.00	0.25
5605794.00	0.00
5605831.00	0.25
5605834.00	0.00
5605914.00	0.25
5605927.00	0.00
5605964.00	0.25
5605966.00	0.00
5606081.00	0.25
5606140.00	0.00
5606209.00	0.25
5606256.00	0.00
5606285.00	0.25
5606294.00	0.00
5606326.00	0.25
5606352.00	0.00
5606363.00	0.25
5606366.00	0.00
5606424.00	0.25
5606427.00	0.00
5606466.00	0.25
5606481.00	0.00
5606534.00	0.25
5606550.00	0.00
5606602.00	0.25
5606616.00	0.00
5606665.00	0.25
5606669.00	0.00
5606736.00	0.25
5606749.00	0.00
5606792.00	0.25
5606799.00	0.00
5606870.00	0.25
5606883.00	0.00
5606921.00	0.25
5606925.00	0.00
5607003.00	0.25
5607016.00	0.00
5607054.00	0.25
5607057.00	0.00
5607136.00	0.25
5607149.00	0.00
5607186.00	0.25
5607189.00	0.00
5607268.00	0.25
5607282.00	0.00
5607339.00	0.25
5607344.00	0.00
5607396.00	0.25
5607416.00	0.00
5607466.00	0.25
5607471.00	0.00
5607535.00	0.25
5607549.00	0.00
5607588.00	0.25
5607593.00	0.00
5607669.00	0.25
5607682.00	0.00
5607726.00	0.25
5607729.00	0.00
5607802.00	0.25
5607816.00	0.00
5607854.00	0.25
5607862.00	0.00
5607937.00	0.25
5607951.00	0.00
5607995.00	0.25
5607998.00	0.00
5608070.00	0.25
5608083.00	0.00
5608121.00	0.25
5608124.00	0.00
5608197.00	0.25
5608211.00	0.00
5608252.00	0.25
5608254.00	0.00
5608331.00	0.25
5608344.00	0.00
5608381.00	0.25
5608384.00	0.00
5608471.00	0.25
5608484.00	0.00
5608520.00	0.25
5608523.00	0.00
5608609.00	0.25
5608622.00	0.00
5608659.00	0.25
5608670.00	0.00
5608746.00	0.25
5608759.00	0.00
5608797.00	0.25
5608800.00	0.00
5608879.00	0.25
5608892.00	0.00
5608930.00	0.25
5608933.00	0.00
5609007.00	0.25
