time	count
0.00	0.00
5335254.00	1.00
5336926.00	0.00
5337186.00	1.00
5339973.00	0.00
5340076.00	1.00
5343885.00	0.00
5522604.00	1.00
5524828.00	0.00
5524930.00	1.00
5525021.00	0.00
5525110.00	1.00
5525625.00	0.00
5525714.00	1.00
5547714.00	0.00
5547789.00	1.00
5547912.00	0.00
5547987.00	1.00
5548084.00	0.00
5548149.00	1.00
5548229.00	0.00
5548305.00	1.00
5548390.00	0.00
5548461.00	1.00
5938294.00	0.00
5938385.00	1.00
6308123.00	0.00
6308199.00	1.00
6679713.00	0.00
6679807.00	1.00
7052358.00	0.00
7052439.00	1.00
7052567.00	0.00
7052629.00	1.00
7052750.00	0.00
7052814.00	1.00
7053475.00	0.00
7053550.00	1.00
7053676.00	0.00
7053748.00	1.00
7053763.00	0.00
7053817.00	1.00
7053829.00	0.00
7053880.00	1.00
7053892.00	0.00
7053941.00	1.00
7053953.00	0.00
7054002.00	1.00
7054013.00	0.00
7054068.00	1.00
7054080.00	0.00
7054130.00	1.00
7054141.00	0.00
7054192.00	1.00
7054203.00	0.00
7054251.00	1.00
7054263.00	0.00
7054325.00	1.00
7054336.00	0.00
7054383.00	1.00
7054394.00	0.00
7054448.00	1.00
7054460.00	0.00
7054510.00	1.00
7054522.00	0.00
7054576.00	1.00
7054588.00	0.00
7054638.00	1.00
7054652.00	0.00
7054701.00	1.00
7054976.00	0.00
7055048.00	1.00
7055105.00	0.00
7055162.00	1.00
7055259.00	0.00
7055323.00	1.00
7055752.00	0.00
7055813.00	1.00
7055832.00	0.00
7055884.00	1.00
7055897.00	0.00
7055945.00	1.00
7055957.00	0.00
7056007.00	1.00
7056018.00	0.00
7056066.00	1.00
7056078.00	0.00
7056125.00	1.00
7056137.00	0.00
7056185.00	1.00
7056196.00	0.00
7056244.00	1.00
7056256.00	0.00
7056304.00	1.00
7056315.00	0.00
7056363.00	1.00
7056374.00	0.00
7056431.00	1.00
7056443.00	0.00
7056495.00	1.00
7056506.00	0.00
7056555.00	1.00
7056567.00	0.00
7056616.00	1.00
7056627.00	0.00
7056674.00	1.00
7056685.00	0.00
7056734.00	1.00
7056749.00	0.00
7056802.00	1.00
7057072.00	0.00
7057145.00	1.00
7057216.00	0.00
7057277.00	1.00
7057373.00	0.00
7057443.00	1.00
7057852.00	0.00
7057915.00	1.00
7057932.00	0.00
7057984.00	1.00
7057996.00	0.00
7058045.00	1.00
7058057.00	0.00
7058106.00	1.00
7058118.00	0.00
7058166.00	1.00
7058177.00	0.00
7058225.00	1.00
7058237.00	0.00
7058285.00	1.00
7058296.00	0.00
7058344.00	1.00
7058355.00	0.00
7058404.00	1.00
7058421.00	0.00
7058471.00	1.00
7058482.00	0.00
7058532.00	1.00
7058543.00	0.00
7058592.00	1.00
7058604.00	0.00
7058651.00	1.00
7058662.00	0.00
7058711.00	1.00
7058722.00	0.00
7058769.00	1.00
7058780.00	0.00
7058830.00	1.00
7058844.00	0.00
7058894.00	1.00
7059144.00	0.00
7059217.00	1.00
7059634.00	0.00
7059695.00	1.00
7059712.00	0.00
7059769.00	1.00
7059781.00	0.00
7059839.00	1.00
7059851.00	0.00
7059906.00	1.00
7059918.00	0.00
7059966.00	1.00
7059978.00	0.00
7060026.00	1.00
7060037.00	0.00
7060086.00	1.00
7060098.00	0.00
7060146.00	1.00
7060158.00	0.00
7060207.00	1.00
7060219.00	0.00
7060266.00	1.00
7060278.00	0.00
7060327.00	1.00
7060339.00	0.00
7060388.00	1.00
7060399.00	0.00
7060455.00	1.00
7060467.00	0.00
7060516.00	1.00
7060527.00	0.00
7060577.00	1.00
7060588.00	0.00
7060647.00	1.00
7060663.00	0.00
7060714.00	1.00
7061122.00	0.00
7061191.00	1.00
7061207.00	0.00
7061267.00	1.00
7061280.00	0.00
7061330.00	1.00
7061341.00	0.00
7061390.00	1.00
7061402.00	0.00
7061457.00	1.00
7061469.00	0.00
7061517.00	1.00
7061529.00	0.00
7061577.00	1.00
7061589.00	0.00
7061637.00	1.00
7061648.00	0.00
7061703.00	1.00
7061714.00	0.00
7061764.00	1.00
7061775.00	0.00
7061824.00	1.00
7061835.00	0.00
7061882.00	1.00
7061893.00	0.00
7061941.00	1.00
7061952.00	0.00
7062000.00	1.00
7062011.00	0.00
7062058.00	1.00
7062070.00	0.00
7062119.00	1.00
